uuid,created_at,updated_at,name,nitrogen,phosphorus,potassium
f2e1459a-c3b3-427b-a2c7-eaf36f498db3,2023-03-04 03:18:29.998951,2023-03-04 03:18:29.998953,Sunflower Seed,2.25,1.25,0.79
e17d7454-f695-46a4-b375-1601392c9fbe,2023-03-04 03:18:29.999059,2023-03-04 03:18:29.999060,Sweetpotato,0.25,0.1,0.5
d3dbd3a3-8449-4cc4-9220-f3a94f4e5d7b,2023-03-04 03:18:29.999149,2023-03-04 03:18:29.999149,Sweetpotato Skin (Boiled) (Ash),0.0,3.29,13.89
c066884c-2c8a-4354-b714-726f5a35e141,2023-03-04 03:18:29.999265,2023-03-04 03:18:29.999266,Tanbark (Ash),0.0,0.24,0.38
9e3e460b-3541-4142-ab79-af76c3accda5,2023-03-04 03:18:29.999352,2023-03-04 03:18:29.999353,Tankage,11.0,1.0,0.0
95a7ab5e-b954-4d9b-b3db-52852f11887b,2023-03-04 03:18:29.999509,2023-03-04 03:18:29.999510,Tea Leaves (Grounds),4.15,0.62,0.4
7311bf1e-067d-4378-b047-3b66a6a9ca15,2023-03-04 03:18:29.999596,2023-03-04 03:18:29.999597,Tea-leaf Ash,0.0,1.6,0.44
589f4042-872e-40b0-8442-3a4da6f49375,2023-03-04 03:18:29.999684,2023-03-04 03:18:29.999684,Timothy Hay (Cat's tail),1.25,0.55,1.0
d3dcd7d1-8b72-47a3-8ce1-eaa15e68773f,2023-03-04 03:18:29.999780,2023-03-04 03:18:29.999781,Tobacco Leaves,4.0,0.5,6.0
5bd89edf-7253-48fb-96f1-ecfbb0adea75,2023-03-04 03:18:29.999864,2023-03-04 03:18:29.999865,Tobacco Stalks,3.7,0.65,4.5
f3ebb947-c745-430c-b2c0-8b5a9b9991c7,2023-03-04 03:18:29.999948,2023-03-04 03:18:29.999949,Tobacco Stems,2.5,0.9,7.0
ee5dbb25-7143-4030-ba6c-90edd477b688,2023-03-04 03:18:30.000044,2023-03-04 03:18:30.000045,Tomato (Fruit),0.2,0.07,0.35
86e5bd9f-09f5-449c-8f54-45df1da3fac3,2023-03-04 03:18:30.000212,2023-03-04 03:18:30.000213,Tomato (Leaves),0.35,0.1,0.4
f8e6da26-248f-44ee-883e-dce89f5cf5f2,2023-03-04 03:18:30.000309,2023-03-04 03:18:30.000310,Tomato (Stalks),0.35,0.1,0.5
b00372d2-9c46-4554-b4d7-3751364e5b18,2023-03-04 03:18:30.000459,2023-03-04 03:18:30.000460,Turkey manure,4.0,2.5,2.9
3a2815cc-bbd6-4885-aca6-7f9ea0d9df5f,2023-03-04 03:18:30.000567,2023-03-04 03:18:30.000569,Wheat (Bran),2.65,2.9,1.6
9535eef1-3ff6-4c2f-bb04-983335872fc8,2023-03-04 03:18:30.000752,2023-03-04 03:18:30.000753,Wheat (Straw),0.5,0.15,0.6
f6f522d7-79ca-4d7d-9903-03835a16c4b2,2023-03-04 03:18:30.000836,2023-03-04 03:18:30.000837,White Clover (Green),0.5,0.2,0.3
f9f4a217-9bfb-431d-a137-f43865af181d,2023-03-04 03:18:30.000918,2023-03-04 03:18:30.000919,White Sage (Ash),0.0,0.0,13.77
2224de7d-5bd4-4e66-9eeb-0d2690ec9cb5,2023-03-04 03:18:30.000999,2023-03-04 03:18:30.001000,Wood Ashes (Leached),0.0,1.0,1.0
af5726c1-7f28-405d-98e4-c9ff134caead,2023-03-04 03:18:30.001086,2023-03-04 03:18:30.001087,Wood Ashes (Unleached),0.0,1.0,4.0
5a79f933-bec0-4f83-ac36-384346880959,2023-03-04 03:18:30.001168,2023-03-04 03:18:30.001169,Wool Waste,5.0,2.0,1.0
